,Latent,Tau
0,PCA 50D t-SNE,-0.022222222222222223
1,PCA 50D t-SNE,-0.022222222222222223
2,PCA 50D t-SNE,-0.37777777777777777
3,PCA 50D t-SNE,-0.06666666666666667
4,PCA 50D t-SNE,-0.022222222222222223
5,PCA 50D t-SNE,-0.1111111111111111
6,PCA 50D t-SNE,-0.1111111111111111
7,PCA 50D t-SNE,0.06666666666666667
8,PCA 50D t-SNE,0.19999999999999998
9,PCA 50D t-SNE,0.19999999999999998
10,PCA 50D UMAP,0.022222222222222223
11,PCA 50D UMAP,0.1111111111111111
12,PCA 50D UMAP,-0.1111111111111111
13,PCA 50D UMAP,0.022222222222222223
14,PCA 50D UMAP,0.06666666666666667
15,PCA 50D UMAP,0.022222222222222223
16,PCA 50D UMAP,0.022222222222222223
17,PCA 50D UMAP,0.022222222222222223
18,PCA 50D UMAP,-0.06666666666666667
19,PCA 50D UMAP,0.06666666666666667
0,PCA 50D t-SNE,-0.06666666666666667
1,PCA 50D t-SNE,-0.1111111111111111
2,PCA 50D t-SNE,-0.3333333333333333
3,PCA 50D t-SNE,-0.022222222222222223
4,PCA 50D t-SNE,0.15555555555555553
5,PCA 50D t-SNE,-0.19999999999999998
6,PCA 50D t-SNE,-0.1111111111111111
7,PCA 50D t-SNE,0.1111111111111111
8,PCA 50D t-SNE,0.15555555555555553
9,PCA 50D t-SNE,0.28888888888888886
10,PCA 50D UMAP,-0.1111111111111111
11,PCA 50D UMAP,-0.022222222222222223
12,PCA 50D UMAP,-0.1111111111111111
13,PCA 50D UMAP,-0.06666666666666667
14,PCA 50D UMAP,-0.1111111111111111
15,PCA 50D UMAP,-0.06666666666666667
16,PCA 50D UMAP,0.24444444444444444
17,PCA 50D UMAP,0.19999999999999998
18,PCA 50D UMAP,0.06666666666666667
19,PCA 50D UMAP,0.15555555555555553
0,PCA 50D t-SNE,-0.06666666666666667
1,PCA 50D t-SNE,-0.1111111111111111
2,PCA 50D t-SNE,-0.28888888888888886
3,PCA 50D t-SNE,-0.06666666666666667
4,PCA 50D t-SNE,0.022222222222222223
5,PCA 50D t-SNE,-0.06666666666666667
6,PCA 50D t-SNE,-0.15555555555555553
7,PCA 50D t-SNE,0.022222222222222223
8,PCA 50D t-SNE,0.24444444444444444
9,PCA 50D t-SNE,0.19999999999999998
10,PCA 50D UMAP,-0.06666666666666667
11,PCA 50D UMAP,-0.06666666666666667
12,PCA 50D UMAP,-0.1111111111111111
13,PCA 50D UMAP,0.1111111111111111
14,PCA 50D UMAP,0.15555555555555553
15,PCA 50D UMAP,0.022222222222222223
16,PCA 50D UMAP,0.24444444444444444
17,PCA 50D UMAP,0.19999999999999998
18,PCA 50D UMAP,0.1111111111111111
19,PCA 50D UMAP,0.24444444444444444
