,x,latent
0,0.46153846153846156,PCA 15D
1,0.9090909090909091,PCA 15D
2,0.9473684210526316,PCA 15D
3,0.8888888888888888,PCA 15D
4,0.5714285714285714,PCA 15D
5,0.5,PCA 15D
6,0.6046511627906976,PCA 15D
7,0.42105263157894735,PCA 15D
8,0.8235294117647058,PCA 15D
9,0.2857142857142857,PCA 15D
10,0.8461538461538461,PCA 15D
11,0.5365853658536586,PCA 15D
12,0.6363636363636364,PCA 15D
13,0.6956521739130435,PCA 15D
14,0.2857142857142857,PCA 15D
15,0.125,PCA 15D
16,0.5714285714285714,PCA 15D
17,0.3783783783783784,PCA 15D
18,0.6956521739130435,PCA 15D
19,0.75,PCA 15D
20,0.8461538461538461,PCA 15D
21,0.33333333333333337,PCA 15D
22,0.23529411764705888,PCA 15D
23,0.7755102040816326,PCA 15D
24,0.6666666666666667,PCA 15D
25,0.8,PCA 15D
26,0.75,PCA 15D
27,0.46153846153846156,PCA 15D
28,0.6956521739130435,PCA 15D
29,0.8,PCA 15D
30,0.75,PCA 15D
31,0.8235294117647058,PCA 15D
32,0.5714285714285714,PCA 15D
33,0.8,PCA 15D
34,0.33333333333333337,PCA 15D
35,0.7755102040816326,PCA 15D
36,0.7234042553191489,PCA 15D
37,0.8235294117647058,PCA 15D
38,0.75,PCA 15D
39,0.6666666666666667,PCA 15D
40,0.6046511627906976,PCA 15D
41,0.8,PCA 15D
42,0.42105263157894735,PCA 15D
43,0.75,PCA 15D
44,0.9830508474576272,PCA 15D
45,0.9285714285714286,PCA 15D
46,0.2857142857142857,PCA 15D
47,0.75,PCA 15D
48,0.75,PCA 15D
49,0.5365853658536586,PCA 15D
50,0.8888888888888888,PCA 15D
51,0.6666666666666667,PCA 15D
52,0.9285714285714286,PCA 15D
53,0.7755102040816326,PCA 15D
54,0.42105263157894735,PCA 15D
55,0.2857142857142857,PCA 15D
56,0.9473684210526316,PCA 15D
57,0.9830508474576272,PCA 15D
58,0.6363636363636364,PCA 15D
59,0.5,PCA 15D
60,0.3783783783783784,PCA 15D
61,0.5365853658536586,PCA 15D
62,0.7755102040816326,PCA 15D
63,0.6666666666666667,PCA 15D
64,0.75,PCA 15D
65,0.5,PCA 15D
66,0.7234042553191489,PCA 15D
67,0.6046511627906976,PCA 15D
68,0.8888888888888888,PCA 15D
69,0.5,PCA 15D
70,0.6666666666666667,PCA 15D
71,0.5714285714285714,PCA 15D
72,0.5,PCA 15D
73,0.6046511627906976,PCA 15D
74,0.3783783783783784,PCA 15D
75,0.8,PCA 15D
76,0.8,PCA 15D
77,0.9473684210526316,PCA 15D
78,0.8235294117647058,PCA 15D
79,0.9473684210526316,PCA 15D
80,0.9090909090909091,PCA 15D
81,0.8461538461538461,PCA 15D
82,0.9090909090909091,PCA 15D
83,0.9285714285714286,PCA 15D
84,0.9285714285714286,PCA 15D
85,0.9090909090909091,PCA 15D
86,0.7755102040816326,PCA 15D
87,0.9285714285714286,PCA 15D
88,0.9473684210526316,PCA 15D
89,0.9285714285714286,PCA 15D
90,0.7755102040816326,PCA 15D
91,0.8461538461538461,PCA 15D
92,0.8461538461538461,PCA 15D
93,0.7755102040816326,PCA 15D
94,0.9473684210526316,PCA 15D
95,0.8235294117647058,PCA 15D
96,0.6666666666666667,PCA 15D
97,0.9655172413793104,PCA 15D
98,0.9473684210526316,PCA 15D
99,0.9285714285714286,PCA 15D
100,0.8,PCA 15D
101,0.8679245283018868,PCA 15D
102,0.8461538461538461,PCA 15D
103,0.8888888888888888,PCA 15D
104,0.9473684210526316,PCA 15D
105,0.8888888888888888,PCA 15D
106,0.8679245283018868,PCA 15D
107,0.8235294117647058,PCA 15D
108,0.9655172413793104,PCA 15D
109,0.9830508474576272,PCA 15D
110,0.8461538461538461,PCA 15D
111,0.7234042553191489,PCA 15D
112,0.9473684210526316,PCA 15D
113,0.8888888888888888,PCA 15D
114,0.75,PCA 15D
115,0.8461538461538461,PCA 15D
116,0.8679245283018868,PCA 15D
117,0.9285714285714286,PCA 15D
118,0.8235294117647058,PCA 15D
119,0.8679245283018868,PCA 15D
120,0.9473684210526316,PCA 15D
121,0.8461538461538461,PCA 15D
122,0.9473684210526316,PCA 15D
123,0.9090909090909091,PCA 15D
124,0.8235294117647058,PCA 15D
125,0.9090909090909091,PCA 15D
126,0.9473684210526316,PCA 15D
127,0.7755102040816326,PCA 15D
128,0.6956521739130435,PCA 15D
129,0.2857142857142857,PCA 15D
130,0.8888888888888888,PCA 15D
131,0.8461538461538461,PCA 15D
132,0.9090909090909091,PCA 15D
133,0.8888888888888888,PCA 15D
134,0.8679245283018868,PCA 15D
135,0.8888888888888888,PCA 15D
136,0.9655172413793104,PCA 15D
137,0.9655172413793104,PCA 15D
138,0.9655172413793104,PCA 15D
139,0.8,PCA 15D
140,0.8461538461538461,PCA 15D
141,0.5714285714285714,PCA 15D
142,0.8,PCA 15D
